lat,lon
37.5887485,127.028798
37.5888487,127.019224
37.588709,127.01944
37.5890412,127.019411
37.5890833,127.0197
37.5891422,127.020061
37.5885461,127.019575
37.5839693,127.023319
37.5839693,127.023319
37.5880787,127.029846
37.5887755,127.020069
37.5890114,127.020161
37.5888491,127.020365
37.5886585,127.020086
37.5883192,127.020025
37.5885919,127.020745
37.5885841,127.020567
37.5885153,127.020855
37.5882811,127.020963
37.5882815,127.02069
37.5882815,127.02069
37.5882218,127.020553
37.5881356,127.020377
37.5878784,127.020544
37.5877323,127.020745
37.5877323,127.020745
37.5880574,127.020618
37.5881267,127.0208217
37.5883994,127.0209959
37.5881099,127.021164
37.5879699,127.021254
37.587889,127.0211645
37.5877681,127.0209306
37.5876281,127.0214374
37.5859678,127.030533
37.5872819,127.0211872
37.5876412,127.0208371
37.5873714,127.0214453
37.5870229,127.0210366
37.5871528,127.0212681
37.5870883,127.021643
37.5870883,127.021688
37.5868634,127.021688
37.5868634,127.0216886
37.5868634,127.0216886
37.5867701,127.0214113
37.5866348,127.0209908
37.5864364,127.0210454
37.5866348,127.021276
37.5867893,127.0215579
37.5868172,127.0216976
37.5867893,127.0219805
37.5864939,127.0217586
37.5862479,127.0211294
37.5864939,127.0214613
37.5863021,127.021474
37.5864202,127.0220193
37.588333,127.0219094
37.5864932,127.0221384
37.5864822,127.0224329
37.5886585,127.0200867
37.5880283,127.0214548
37.5871519,127.022577
37.5885461,127.0195752
37.5883833,127.0205806
37.587055,127.0212162
37.5866052,127.0231446
37.5873143,127.0218412
37.5875241,127.021942
37.5875261,127.0217388
37.5814008,127.023803
37.5876731,127.0219735
37.587891,127.0221677
37.5877553,127.0224299
37.5877473,127.0225534
37.5881063,127.0223868
37.5885094,127.0224268
37.5883535,127.0224152
37.5886031,127.0221991
37.5888086,127.022099
37.5882768,127.0221932
37.5885126,127.0219421
37.5887261,127.021825
37.5814008,127.0238036
37.5883558,127.0217189
37.5886411,127.0215702
37.588009,127.021737
37.5883585,127.021395
37.5885601,127.0214739
37.5887014,127.0211244
37.5889572,127.0213373
37.5889447,127.021453
37.5888503,127.0210432
37.5890043,127.0209246
37.5872765,127.023365
37.589016,127.0208248
37.5886028,127.0223893
37.5884706,127.0227376
37.5884706,127.0227376
37.5882095,127.02287
37.5879879,127.0229964
37.5881747,127.023029
37.5884134,127.0229047
37.5886259,127.0231069
37.5888396,127.0226897
37.5884752,127.0231893
37.587744,127.0234547
37.587714,127.0238593
37.5877893,127.0231609
37.5876098,127.0239071
37.5875247,127.0241766
37.5874013,127.0242937
37.5873256,127.0244011
37.5881284,127.0250507
37.5870558,127.0250127
37.5872231,127.0244319
37.5871401,127.0240842
37.5873888,127.0240946
37.5875565,127.0236723
37.5875391,127.0233125
37.5877279,127.0233621
37.5877893,127.0231609
37.5879105,127.0234401
37.5873679,127.0236306
37.5871869,127.0238651
37.5872765,127.0233657
37.5868616,127.0250627
37.58696788,127.0251758
37.5873938,127.0253491
37.5876163,127.0254537
37.5859086,127.024339
37.5879394,127.0257348
37.5864737,127.0250078
37.5858078,127.024242
37.5868463,127.0246304
37.58678425,127.0243561
37.5866075,127.0241874
37.5869141,127.0239977
37.58699337,127.023927
37.5867225,127.023717
37.586525,127.0228241
37.5870899,127.023906
37.5867225,127.0237172
37.5851611,127.0218705
37.5857466,127.0287231
37.58727853,127.0216163
37.5853704,127.0217998
37.5851514,127.023635
37.5855881,127.0218626
37.5885126,127.0219421
37.5851772,127.0221862
37.5857999,127.0221939
37.5858359,127.0224063
37.585737,127.0224291
37.5854509,127.0224804
37.5853838,127.0223295
37.5854509,127.0224804
37.5855013,127.0228001
37.5856542,127.0225581
37.5859063,127.0226443
37.5860847,127.0226419
37.5855002,127.0230006
37.5855667,127.0231978
37.5857856,127.023298
37.5860096,127.0232498
37.5861368,127.0232742
37.5861269,127.023118
37.5860424,127.023434
37.5862546,127.023562
37.5860617,127.0235582
37.5857319,127.0237822
37.5856764,127.0240445
37.5860617,127.0235582
37.5860844,127.0239055
37.5860844,127.0239055
37.5859159,127.0242327
37.5860212,127.0243287
37.5861686,127.0245
37.5859086,127.0243392
37.5857033,127.0243532
37.5855919,127.0242788
37.5858078,127.024242
37.5855869,127.024253
37.5854735,127.024163
37.5854722,127.0243007
37.5853255,127.0240943
37.5852141,127.0239271
37.5850664,127.0237173
37.5850477,127.0236337
37.5849084,127.0236752
37.5846671,127.0236976
37.5844937,127.0237508
37.5843817,127.0237458
37.5841105,127.0239381
37.5842059,127.0234885
37.5843084,127.023442
37.5857319,127.0237822
37.5846473,127.0232597
37.5848592,127.0233962
37.5851514,127.0236358
37.5853456,127.0235902
37.5853262,127.0238566
37.58520598,127.0230105
37.5856518,127.0217169
37.5844599,127.0228251
37.5845307,127.0226736
37.5845328,127.0223826
37.5848873,127.0222115
37.5844515,127.0219228
37.5825381,127.02284
37.5847605,127.0218135
37.5844515,127.0219228
37.5843896,127.022175
37.5840723,127.0220534
37.584219,127.0223572
37.5841716,127.0225028
37.5815328,127.023957
37.5837539,127.0220123
37.5836542,127.0222627
37.5835846,127.0225625
37.5844515,127.0219228
37.5881961,127.0207189
37.5831124,127.0224521
37.5832065,127.0223908
37.5821021,127.026885
37.5844515,127.0219228
37.5887135,127.0201912
37.5824156,127.0226276
37.5825677,127.0224954
37.5826587,127.0226075
37.5828235,127.0226008
37.5829367,127.0225619
37.5824674,127.0231183
37.5821321,127.0234341
37.5817022,127.0233061
37.5816295,127.0235629
37.5818063,127.0232606
37.5818679,127.0230775
37.5819835,127.023008
37.5822285,127.0228803
37.5838117,127.0224635
37.5837905,127.022724
37.5836057,127.0228295
37.5834008,127.0232148
37.5847655,127.029722
37.5832306,127.0233337
37.5829498,127.023163
37.5829498,127.023163
37.5831034,127.0230976
37.5821152,127.0238917
37.5827128,127.0235906
37.5827128,127.0235906
37.5826693,127.0233433
37.5821321,127.0234341
37.5823959,127.0239458
37.5821321,127.0234341
37.5821321,127.0234341
37.5822029,127.02404
37.5824039,127.0245865
37.5827662,127.02449
37.5831138,127.0242534
37.5832077,127.0241639
37.5829498,127.023163
37.5829498,127.023163
37.5829564,127.0238479
37.5858212,127.030682
37.5811654,127.0268217
37.5836157,127.0233818
37.5839525,127.0235733
37.5839615,127.0231441
37.5838531,127.02398
37.5836693,127.0238714
37.5836102,127.0240239
37.5834932,127.024039
37.5840288,127.0228885
37.5847223,127.0227401
37.5813814,127.0233114
37.5843817,127.0297293
37.5809242,127.0240261
37.5810003,127.0236402
37.5814008,127.0238036
37.5812949,127.0235186
37.5814393,127.023442
37.5815328,127.023957
37.5809603,127.0242487
37.5809603,127.0242487
37.580981,127.0253376
37.5813401,127.0253985
37.5811249,127.0257444
37.5812083,127.0261305
37.5812083,127.0261305
37.5811249,127.0257444
37.5811249,127.0257444
37.5893122,127.0297332
37.5800762,127.0239025
37.5800587,127.024505
37.5801598,127.024095
37.5801398,127.024727
37.5803753,127.0243242
37.5807446,127.0241009
37.5805787,127.0244156
37.5805724,127.0247338
37.5806263,127.0250399
37.580689,127.02533
37.5806807,127.0255249
37.5805991,127.0256856
37.5807752,127.0259505
37.5805832,127.025396
37.5805135,127.0251376
37.5804245,127.0245104
37.5802122,127.0249876
37.580143,127.0254459
37.5807405,127.0261049
37.5809018,127.0263236
37.581161,127.0264051
37.5871068,127.0237699
37.5808519,127.0266107
37.581394,127.0266863
37.5800587,127.024505
37.581394,127.0266863
37.5821021,127.0268854
37.58343848,127.0299206
37.5815277,127.0272699
37.5816281,127.0271021
37.5821103,127.0274536
37.5820968,127.0276633
37.5889953,127.029542
37.5820056,127.0278614
37.5823729,127.0279393
37.5822495,127.0285908
37.5824874,127.028385
37.582422,127.0285365
37.5828609,127.028327
37.5829681,127.0286517
37.58320459,127.0284442
37.583265,127.0288142
37.583265,127.0288142
37.5834805,127.028722
37.5834054,127.0285792
37.5833305,127.0284567
37.58335238,127.0283356
37.5833283,127.0297282
37.5838117,127.0300005
37.588997,127.029543
37.5843854,127.0300678
37.5843854,127.0300678
37.5833283,127.0297282
37.5835196,127.0221082
37.5845069,127.0297311
37.5847655,127.029722
37.5851374,127.029698
37.5852926,127.0295137
37.5849728,127.0312762
37.5852926,127.0295137
37.5857263,127.0296623
37.5859201,127.0296697
37.5860811,127.029628
37.5859302,127.0297998
37.5857906,127.0298084
37.5854717,127.0298136
37.5849151,127.029839
37.584624,127.0300579
37.5843881,127.0301878
37.5846389,127.0302151
37.5848271,127.0302024
37.5850396,127.0304069
37.5853609,127.0301412
37.5855438,127.0301388
37.5855659,127.0303117
37.5856724,127.030436
37.58596481,127.030139
37.5860179,127.0300523
37.586079,127.0300356
37.5852713,127.0308579
37.5852683,127.030713
37.5850138,127.0306699
37.5850138,127.0306699
37.584674,127.0308736
37.5844223,127.0308316
37.5845549,127.0305241
37.585416,127.0314742
37.584888,127.0304938
37.5858998,127.0303753
37.5858212,127.0306821
37.586029,127.0306341
37.5881099,127.021185
37.5864202,127.022019
